auction_id,auction_title,seller_id,lot_number,lot_title,lot_details,bid_count,current_bid,winner_id,first_name,last_name,address_one,address_two,city,state,zip
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10004,Coolaroo Select Sesame Sun Shade,<br><b>Description: </b>Coolaroo Select Sesame Sun Shade<br><b>Additional Detail: </b>Open Box,1,5,111055,Cynthia,AnyName,Sample Address,,AnyCity,MO,64081
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10091,"Position & Lock Tall & Wide Baby Gate, Pressure-Mounted, Farmhouse Collection","<br><b>Description: </b>Position & Lock Tall & Wide Baby Gate, Pressure Mounted, Farmhouse Collection<br><b>Additional Detail: </b>Open Box",1,5,111071,Hayley,AnyName,Sample Address,,AnyCity,MO,64075
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,6220,"Calming Dog Bed Cat Bed, Washable Round Dog Bed - 23/30/36 inches Anti-Slip Faux Fur Donut Cuddler Cat Bed for Small Medium Large Dogs - Fits up to 25/45/100 lbs - Waterproof Bottom","<br><b>Description: </b>Calming Dog Bed Cat Bed, Washable Round Dog Bed   23/30/36 inches Anti Slip Faux Fur Donut Cuddler Cat Bed for Small Medium Large Dogs   Fits up to 25/45/100 lbs   Waterproof Bottom<br><b>Location: </b>Row C<br><b>Additional Detail: </b>Open Box",6,13,111303,Antonio,AnyName,Sample Address,,AnyCity,MO,64083
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,6219,"T8 LED Light Fixture 2ft 1680lm 15W Under Cabinet Lighting, 6500k Cool White, Workbench and Utility Shop Lights, Corded","<br><b>Description: </b>T8 LED Light Fixture 2ft 1680lm 15W Under Cabinet Lighting, 6500k Cool White, Workbench and Utility Shop Lights, Corded<br><b>Additional Detail: </b>Open Box",5,13,111303,Antonio,AnyName,Sample Address,,AnyCity,MO,64083
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,6218,"Amazon Basics 5-Shelf Adjustable, Heavy Duty Storage Shelving Unit (350 lbs loading capacity per shelf), Steel Organizer Wire Rack, Chrome (36L x 14W x 72H)","<br><b>Description: </b>Amazon Basics 5 Shelf Adjustable, Heavy Duty Storage Shelving Unit (350 lbs loading capacity per shelf), Steel Organizer Wire Rack, Chrome (36L x 14W x 72H)<br><b>Additional Detail: </b>Open Box",7,30,111303,Antonio,AnyName,Sample Address,,AnyCity,MO,64083
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,5345,"Blissun 9' Outdoor Market Patio Umbrella with Push Button Tilt and Crank, 8 Ribs (Tan)","<br><b>Description: </b>Blissun 9' Outdoor Market Patio Umbrella with Push Button Tilt and Crank, 8 Ribs (Tan)<br><b>Additional Detail: </b>Open Box",1,5,111384,Tiffony,AnyName,Sample Address,,AnyCity,MO,64788
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,5346,"MYPET North States 38.1"" Wide Essential Walk Thru Gate: Ideal for securing hallways or doorways. Extra Wide Doorway. Pressure Mount. Fits 29.8""-38.1"" Wide (30"" Tall, White)","<br><b>Description: </b>MYPET North States 38.1 Wide Essential Walk Thru Gate Ideal for securing hallways or doorways. Extra Wide Doorway. Pressure Mount. Fits 29.8"" 38.1"" Wide (30"" Tall, White)<br><b>Additional Detail: </b>Open Box""",1,5,111384,Tiffony,AnyName,Sample Address,,AnyCity,MO,64788
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,5335,"Toddleroo by North States 47.85"" Wide Easy Swing & Lock Baby Gate: Ideal for Wider Areas and stairways. Hardware Mount. Fits Openings 28.68"" - 47.85"" Wide (31"" Tall, Matte Bronze)","<br><b>Description: </b>Toddleroo by North States 47.85 Wide Easy Swing & Lock Baby Gate Ideal for Wider Areas and stairways. Hardware Mount. Fits Openings 28.68""   47.85"" Wide (31"" Tall, Matte Bronze)<br><b>Additional Detail: </b>Open Box""",1,5,111410,William,AnyName,Sample Address,,AnyCity,MO,64083
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,5337,"Home Zone Living Dual Kitchen Trash Can in-Home Recycling Bin, 15.8 Gallon Silver","<br><b>Description: </b>Home Zone Living Dual Kitchen Trash Can in Home Recycling Bin, 15.8 Gallon Silver<br><b>Additional Detail: </b>Open Box",14,26,111410,William,AnyName,Sample Address,,AnyCity,MO,64083
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,5338,"Graco Ready2Grow LX 2.0 Double Stroller, Clark","<br><b>Description: </b>Graco Ready2Grow LX 2.0 Double Stroller, Clark, Missing Wheels & Hardware<br><b>Location: </b>Row BB<br><b>Additional Detail: </b>Open Box",5,12,111410,William,AnyName,Sample Address,,AnyCity,MO,64083
